Equipo	Denominación	NºIdentif.técn.	Fabricante	Denomin.tipo	Fe.puesta serv.	   Número de serie según el fabricante	  Tamaño/Dimensión
5000229288	41005 Quemador Z-306		ECLIPSE	7036-RF32020			
5000229341	11001 Bomba Trasiego a TK-304 P-306-1A	P-306-1A	BOMINSA	400V/116/3		24794	
5000229348	11001 Bomba Trasiego a TK-304 P-306-1B	P-306-1B	BOMINSA	400V/116/3		24795	
5000229370	11001 Bomba Descarga TEG Rico P-306-3A	P-306-3A	BOMINSA	A31668/231		24796	
5000229377	11001 Bomba Carga TEG Pobre P-306-3B	P-306-3B	BOMINSA	A31668/231		24797	
5000229393	02027 Val. Seguridad A T-304 PSV-P365A	PSV-P365A	GROVE ITALIA	B4B*021.61			
5000229394	02027 Val. Seguridad B T-304 PSV-P356B	PSV-P356B	GROVE ITALIA	B4B*021.61			
5000229395	02027 Val. Seg. Colector Torres PSV-P355	PSV-P355A	WALTHON WEIR PACIFIC	JOS45A			4" 600# 88 KG/CM2
5000229396	02027 Val. Seg. Colector Torres PSV-355B	PSV-P355B	WELTHON WEIR PACIFIC	JOS45A			4" 150# 88 KG/CM2
5000229397	02027 Val. Seguridad A T-303 PSV-P351A	PSV-P351A	WELTHON WEIR PACIFIC	JOS45A			
5000229398	02027 Val. Seguridad B T-303 PSV-P351B	PSV-P351B	WELTHON WEIR PACIFIC	JOS45A			
5000229409	02027 Val. Seg. Nivel TEG Z-306 PSV-P359	PSV-P359	NACIONAL	3_50		38744	3/4" 8,75 BAR
5000229412	02027 Val. Seg. Fuel Gas Z-303 PSV-P360	PSV-P360	PIETRO FIORENTINI	VSAM-65-MP		201504693436	1" 150# 350 MBAR
5000229413	56005 Hidrante Torres Secado 15		AQL-PROTECCION	TIFON-TIPO-C			
5000229415	56005 Hidrante Regeneradores 12		AQL-PROTECCION	TIFON-TIPO-C			
5000229417	56005 Hidrante Depósitos TEG 1		AQL-PROTECCION	TIFON-TIPO-C			
5000229428	15004 Filtro Separador F-301B	F-301B	SCHWARTZ-HAUTMONT	P-250-MR-02			88 KG/CM2
5000229457	15004 Filtro Separador F-301A	F-301A	SCHWARTZ-HAUTMONT	P-250-MR-02			88 KG/CM2
5000229487	15004 Filtro Separador F-301C	F-301C	SCHWARTZ-HAUTMONT	P-250-MR-02			88 KG/CM2
5000229515	02027 Val. Seguridad F-301A PSV-P357A	PSV-P357A	WALTHON WEIR PACIFIC	JOS45A			3" 600# 88 KG/CM2
5000229517	02027 Val. Seguridad F-301B PSV-P357B	PSV-P357B	WALTHON WEIR PACIFIC	JOS45A			3" 600# 88 KG/CM2
5000229519	02027 Val. Seguridad F-301C PSV-P357C	PSV-P357C	WALTHON WEIR PACIFIC	JOS45A			3" 600# 88 KG/CM2
5000229521	56005 Hidrante Filtros 5		AQL-PROTECCION	TIFON-TIPO-C			
5000229564	11001 Bomba Drenaje Separador P-352-A	P-352-A	BOMINSA	210/14Q			2 M3/H 3 BAR
5000229572	11001 Bomba Drenaje Separador P-352-B	P-352-B	BOMINSA	210/14Q			
5000229578	78008 Antorcha Z-309	Z-309	AIROIL-ESPAÑOLA	Z-309			440 KG/H - 9 M
5000229609	11001 Bomba P-701-A Agua Refrig.	P701A	KSB-ITUR	NM-40-160-B			
5000229617	11001 Bomba P-701-B Agua Refrig.	P701B	KSB-ITUR	NM-40-160-B			
5000229672	11001 Bomba P-7-A Aliment. Agua Caldera	P7A	EBARA	EVMG 3 11N5			
5000229677	11001 Bomba P-7-B Aliment. Agua Caldera	P7B	EBARA	EVMG 3 11N5			
5000229686	10002 Caldera Vapor URM C-321	C-321	SOGECAL	NCK-50		NCK-50	9 BAR 500 KG/H
5000229723	11005 Bomba Envío Agua a Pozo S-1 P-351A	P-351A	PERONI-POMPE	TITANO-31.10-(40X45)		2003/92/1	2,5 M3/H
5000229730	11005 Bomba Envío Agua a Pozo S-1 P-351B	P-351B	PERONI-POMPE	TITANO-31.10-(40X45)		2003/92/2	2,5 M3/H
5000229743	11001 Bomba P-700-A Alim. Torre	P700A	KSB-ITUR	NM-25-200-N			
5000229751	11001 Bomba P-700-B Alim. Torre	P700B	KSB-ITUR	NM-25-200-N			
5000229756	11001 Bomba P-700-C Alim. Torre	P700C	KSB-ITUR	NM-25-200-N			
5000229805	11001 Bomba P-758-A Salida Depós. Metano	P758A	FINDER-POMPES	MGX216			
5000229810	11001 Bomba P-758-A Salida Depós. Metano	P758B	FINDER-POMPES	MGX216			
5000229833	11001 Bomba P-757-A Salida Agua destilad	P757A	FINDER-POMPES	EX109-3			
5000229845	11001 Bomba P-757-B Salida Agua destilad	P757B	FINDER-POMPES	EX109-3			
5000229875	11001 Bomba Carga Metanol A P-702A	P-702A	KSB-ITUR	NM-32-125-B			
5000229882	11001 Bomba Carga Metanol B P-702B	P-702B	KSB-ITUR	NM-32-125-B			
5000229934	14013 Torre Destilación Kuhni E-751	E-751	KUHNI	E-751		2672/08	3 KG/CM2
5000230113	13003 Turbina de gas TCP C50		SOLAR	CENTAUR-50S			
5000230150	26011 Cuadro CC 110V Booster CCC-03	CCC-03	SAFT POWER SYSTEM IBERICA	MOS-EB-110-35-92 SBM-43-/-A-/-E	20070101	MOS-4280	380AC/110DC 8,1KVA
5000230249	13052 Motor aerorefrigreración A-E501-1	B5981	ABB MOTORS	IEC 180M/L 48			
5000230252	13052 Motor aerorefrigreración A-E501-2	B5982	ABB MOTORS	IEC 180M/L 48			
5000230255	09002 Aerorrefrigerante Booster AE-501	AE-501	GEA IBÉRICA	11000/2300/6V-EEDP1-254R57Y32/66.67		261/507	113 KG/CM2
5000230295	56005 Hidrante Booster 6		AQL-PROTECCION	TIFON-TIPO-C			
5000230377	21001 Trampa Rascadores 16" D-332	D-332	TRAMPARASCADORES	6-8-10-16PULG		D-2069-20-191/T	16" -10/70ºC 90BAR
5000230384	21001 Trampa Rascadores 6" D-331	D-331	TRAMPARASCADORES	6-8-10-16PULG			6" -20/70ºC 100BAR
5000230396	21001 Trampa Rascadores Jaca 8" D-311	D-311	TRAMPARASCADORES	6-8-10-16PULG			100 BAR -20/70 ºC
5000230404	21001 Trampa Rascadores Jaca 16" D-316	D-316	TRAMPARASCADORES	6-8-10-16PULG			90 BAR -10/70 ºC
5000230415	21001 Trampa Rascadores Aurín D-312-B	D-312-B	TRAMPARASCADORES	6-8-10-16PULG		CP-117	102 BAR -10/70 ºC
5000230423	21001 Trampa Rascadores Agua S-1 D-312	D-312	TRAMPARASCADORES	6-8-10-16PULG			100 KG/CM2
5000230476	01005 Contador Iny. THT FQI-P306	FQI-P306	ENDRESS HAUSER	PROMASS A		4C05A402000	
5000230483	11003 Bomba Inyección THT P-305A	P-305A	LEWA	EK1			
5000230490	11003 Bomba Inyección THT P-305B	P-305B	LEWA	EK1			
5000230505	05004 Trans. Temp. Línea A TT-P050A	TT-P050A	ROSEMOUNT	3144P		1905755	-40/80ºC
5000230506	05001 Trans. Presión Línea A PT-P050A	PT-P050A	ROSEMOUNT	3051TA4		7922554 08/04	0-100 BAR
5000230509	05004 Trans. Temp. Línea B TT-P050B	TT-P050B	ROSEMOUNT	3144P		09819724	0-100ºC
5000230510	05001 Trans. Presión Línea B PT-P050B	PT-P050B	ROSEMOUNT	3051TA4		7614315 03/02	0-100 BAR
5000230517	18003 Analizador P. Rocío Panamet. PR-50	PR-50	PANAMETRICS	MOISTURE-ANALYZER-SAMPLE-SYSTEM	20100101	1258	90-260 VAC
5000230519	02027 Val. Segur. Gasoducto PSV-P358A	PSV-P358A	WALTHON WEIR PACIFIC	JOS45A			88 KG/CM2
5000230521	02027 Val. Segur. Gasoducto PSV-P358B	PSV-P358B	WALTHON WEIR PACIFIC	JOS45A			88 KG/CM2
5000230523	02027 Val. Segur. Gasoducto PSV-P358C	PSV-P358C	WALTHON WEIR PACIFIC	JOS45A			88 KG/CM2
5000230539	56005 Hidrante U. Medida 16		AQL-PROTECCION	TIFON-TIPO-C			
5000230545	26007Cuadro de Control ABB		ABB	AC800M			
5000230657	24001Transform16000-380 V,630 KVA,Traf		TRANSFORMADORES-ALK	TCA-630-17,5			
5000230674	24001Transfor 15000-380 V,630 KVA,Traf		TRANSFORMADORES-ALK	TCA-630-17,5			
5000230730	26006Bateria condensadores		CIRCUTOR	R3L2300000T000			
5000230733	26004Cub condensador trafo + reservas		SCHNEIDER	CCM			
5000230734	26004Cub reserva equipada (magnetotermic		SCHNEIDER	CCM			
5000230735	26004Cub alumbrado/fuerza taller + reser		SCHNEIDER	CCM			
5000230736	26004Cub reserva equipada motor 4 kW		SCHNEIDER	CCM			
5000230737	26004Cub reserva equipada motor 4 kW		SCHNEIDER	CCM			
5000230738	26004Cub bomba eléctrica contraincendios		SCHNEIDER	CCM			
5000230739	26004Cub variador de velocidad motor de		SCHNEIDER	CCM			
5000230740	26004Cub protección sobre tensiones CCM		SCHNEIDER	CCM			
5000230741	26004Cub material auxiliar acometida		SCHNEIDER	CCM			
5000230742	26004Cub  acometida ""A"" trafo A"		SCHNEIDER	CCM			
5000230743	26004Cub trafos mando 2 x 1kVA		SCHNEIDER	CCM			
5000230744	26004Cub material auxiliar acometidas		SCHNEIDER	CCM			
5000230745	26004Cub acometida ""B"" trafo B"		SCHNEIDER	CCM			
5000230746	26004Cub tomas soladura y herramienta T		SCHNEIDER	CCM			
5000230747	26004Cub aire acondicionado subestación		SCHNEIDER	CCM			
5000230748	26004Cub cuadro calefacción taller mecá		SCHNEIDER	CCM			
5000230749	26004Cub alumbrado oficinas		SCHNEIDER	CCM			
5000230750	26004Cub climatización oficinas		SCHNEIDER	CCM			
5000230751	26004Cub reserva equipada (magnetotérmi		SCHNEIDER	CCM			
5000230752	26004Cub  reserva equipada (magnetotérmi		SCHNEIDER	CCM			
5000230753	26004Cub  reserva equipada (magnetotérmi		SCHNEIDER	CCM			
5000230754	26004Cub  reserva equipada (magnetotérmi		SCHNEIDER	CCM			
5000230755	26004Cub  acometida CCM CE-PT		SCHNEIDER	CCM			
5000230756	26004Cub  alumbrado subestación + sala d		SCHNEIDER	CCM			
5000230757	26004Cub  alumbrado exterior AEN-PT-1/2/		SCHNEIDER	CCM			
5000230758	26004Cub  alumbrado exterior focos torre		SCHNEIDER	CCM			
5000230759	26004Cub  alumbrado exterior calles AC-P		SCHNEIDER	CCM			
5000230761	26004 Pos. 1.2 Bomba Arqueta Cubetos	POS 1.2	SCHNEIDER	CCM			3 KW
5000230762	26004Cub  bomba agua de proceso a S1 MZP		SCHNEIDER	CCM			
5000230763	26004Cub  bomba pozo captación agua (err		SCHNEIDER	CCM			
5000230764	26004Cub  bomba separador antorcha MZP-3		SCHNEIDER	CCM			
5000230765	26004Cub  bomba separador antorcha MZP-3		SCHNEIDER	CCM			
5000230766	26004Cub acometida CCM Centaur-50		SCHNEIDER	CCM			
5000230767	26004Cub  bomba trasiego TEG MZP-306-1B		SCHNEIDER	CCM			
5000230768	26004Cub  bomba trasiego TEG MZP-306-1A		SCHNEIDER	CCM			
5000230769	26004Cub   bomba pistón TEG P-303-2A		SCHNEIDER	CCM			
5000230770	26004Cub bomba pistón TEG P-303-2B		SCHNEIDER	CCM			
5000230771	26004Cub bomba agua proceso a pozo S1 M		SCHNEIDER	CCM			
5000230772	26004Cub protecciones y trafos mando 2		SCHNEIDER	CCM			
5000230773	26004Cub material auxiliar acometidas l		SCHNEIDER	CCM			
5000230774	26004Cub acometida ""A"" de CD-PT (red		SCHNEIDER	CCM			
5000230775	26004Cub material auxiliar acometidas l		SCHNEIDER	CCM			
5000230776	26004Cub acometida ""B"" de CD-PT (gru		SCHNEIDER	CCM			
5000230777	26004Cub protección sobre tensiones CE-		SCHNEIDER	CCM			
5000230778	26004Cub reserva equipada motor 4 kW		SCHNEIDER	CCM			
5000230779	26004Cub reserva equipada motor 4 kW		SCHNEIDER	CCM			
5000230780	26004Cub reserva equipada motor 15 kW		SCHNEIDER	CCM			
5000230781	26004Cub reserva equipada motor 37 kW		SCHNEIDER	CCM			
5000230782	26004Cub bomba balsa slops MP-305		SCHNEIDER	CCM			
5000230783	26004Cub bomba agua planta P301-A		SCHNEIDER	CCM			
5000230784	26004Cub bomba agua planta P301-B		SCHNEIDER	CCM			
5000230785	26004Cub alimentación bateria de conden		SCHNEIDER	CCM			
5000230786	26004Cub bomba Jockey MP-304		SCHNEIDER	CCM			
5000230787	26004Cub bomba carga camiones MZP-306-3		SCHNEIDER	CCM			
5000230788	26004Cub bomba carga camiones MZP-306-3		SCHNEIDER	CCM			
5000230789	26004Cub reserva equipada motor 3 kW		SCHNEIDER	CCM			
5000230790	26004Cub aerorefrigerador gas nº1 ZC-302		SCHNEIDER	CCM			
5000230791	26004Cub aerorefrigerador gas nº2 ZC-302		SCHNEIDER	CCM			
5000230792	26004Cub bomba pistón TEG REG Z-306 MZP-		SCHNEIDER	CCM			
5000230793	26004Cub bomba pistón TEG REG Z-306 MZP-		SCHNEIDER	CCM			
5000230794	26004Cub compresor aire A MZC-307-A		SCHNEIDER	CCM			
5000230795	26004Cub compresor aire B MZC-307-B		SCHNEIDER	CCM			
5000230796	26004Cub cuadro CC 24 V.CCM		SCHNEIDER	CCM			
5000230797	26004Cub cuadro CC 48 V.Subestación		SCHNEIDER	CCM			
5000230798	26004Cub cuadro CC 48 V.CCM		SCHNEIDER	CCM			
5000230799	26004Cub resistencias bomba agua proceso		SCHNEIDER	CCM			
5000230800	26004Cub resistencias bombas inyección T		SCHNEIDER	CCM			
5000230802	26004Cub alimentación antorcha/panel Ena		SCHNEIDER	CCM			
5000230804	26004Cub impresora cromatógrafo / emisor		SCHNEIDER	CCM			
5000230835	26004Cubículo bomba P700 KUHNI		INABENSA	CCM			
5000230836	26004Cubículo filtro F352 KUHNI		INABENSA	CCM			
5000230837	26004Cub alimentación caldera vapor KUHN		INABENSA	CCM			
5000230838	26004Cub medida eléctrica de sistema KUH		INABENSA	CCM			
5000230839	26004Cub cuadro alumbrado/sistema DCI de		INABENSA	CCM			
5000230840	26004Cub bomba P700A agua proceso KUHNI		INABENSA	CCM			
5000230841	26004Cub bomba P700B agua proceso KUHNI		INABENSA	CCM			
5000230842	26004Cub bomba P701A agua refrigeración		INABENSA	CCM			
5000230843	26004Cub bomba P701B agua refrigeración		INABENSA	CCM			
5000230844	26004Cub bomba P702A metanol a camiones		INABENSA	CCM			
5000230845	26004Cub bomba P702B metanol a camiones		INABENSA	CCM			
5000230846	26004Cub bomba P757A agua de torre a TK3		INABENSA	CCM			
5000230847	26004Cub bomba P757B agua de torre a TK3		INABENSA	CCM			
5000230848	26004Cub bomba P758A metanol regenerado		INABENSA	CCM			
5000230849	26004Cub bomba P758B metanol regenerado		INABENSA	CCM			
5000230850	26004Cub motor aerorefrigerador 1 KUHNI		INABENSA	CCM			
5000230851	26004Cub motor aerorefrigerador 2 KUHNI		INABENSA	CCM			
5000230852	26004Cub motor agitador P314 KUHNI		INABENSA	CCM			
5000230853	26004Cub motor agitador P315 KUHNI		INABENSA	CCM			
5000230858	36001 Generador Emergencia GE1	GE1	HIMOINSA	HDW-675 T5 STD 50HZ - 400/230V AS22		N20G308594	536 KW / 670 KVA
5000231052	11001 Bomba centrífuga DCI P302A	P302A	IDEAL	RNI 100-26H			
5000231053	13052  Motor eléctrico DCI M302A	M302A	CEMER	IE1-EGO 280 M2			
5000231061	11001 Bomba centrífuga DCI P302B	P302B	IDEAL	RNI 100-26H			
5000231062	13004  Motor diesel DCI M302B	M302B	ALFA	4ATG90			
5000231195	17009 Regulador Presión FG ESV-P006	ESV-P006	TARTARINI	FL25		LOI2094	20 BAR
5000231264	11001Bomba entrada Potabilizadora		ESPA	PRISMA253			
5000231277	14003 Pulmón Agua Potabilizadora ZD-311	ZD-311	CONSUNA	ZD-311			5 KG/CM2
5000231320	11001 Bomba Carga Cisternas SLOPS P-305	P-305	KSB	KVP-K-65-200			60 M3/H
5000231392	56005 Hidrante Oficinas 11		AQL-PROTECCION	TIFON-TIPO-C			
5000231721	02027 Val. Seguridad Gasoducto PSV-221A	PSV-221A	NACIONAL	3_5211			
5000231722	02027 Val. Seguridad Gasoducto PSV-221B	PSV-221B	NACIONAL	3_5211			
5000231737	11001 Bomba Descarga Metanol P-1103	P-1103	HIDROTECAR	CSO-50-160P-1103			30 M3/H
5000231745	01004 Contador Desc. Metanol FQI-223	FQI-223	FLUIDWELL	F110		29163	2" 150# 25 CM
5000231761	11003 Bomba Metanol A P-1102A	P-1102A	LEWA	LDE1-25-2010		529921-030.001	151,76 L/H 260 BAR
5000231772	11003 Bomba Metanol B P-1102B	P-1102B	LEWA	LDE2-30-2010		529921-040.002	402.76 L/H 260 BAR
5000231888	13003 Turbina de gas TCP C50		SOLAR	TAURUS-60S-7302S			
5000231953	26011 Cuadro CC 110V TC-J2 CCC02-02	CCC2-02	SAFT POWER SYSTEM IBERICA	MOS-EB-125-35-92_SBM-43/-A-/-E		MOS-2796	400AC/110DC 8KVA
5000232042	13052 Motor aerorefrigreración TCJ2	2B5981	CEMP	AB75 IBB T3 IP56			
5000232045	13052 Motor eléctrico  TCJ2 2B598-2	2B5982	CEMP	AB75 IBB T3 IP56			
5000232088	13052 Motor aerorefrigreración J2	LPAE501J1	ABB MOTORS	M3_JP_160MLC_4_EEXD_IIB_T4_V6-IEC_160M/L42			
5000232091	13052 Motor aerorefrigreración J2	LPAE501J2	ABB MOTORS	M3_JP_160MLC_4_EEXD_IIB_T4_V6-IEC_160M/L42			
5000232094	09002 Aerorrefrigerante 1ª Etapa AE-501J	AE-501J	GEA IBÉRICA	9144/1835/6V-EEDP2-254R57Y32/66,67		261/507	144 KG/CM2
5000232098	13052 Motor aerorefrigreración J2	HPAE502J1	ABB MOTORS	M3_JP_160MLC_4_EEXD_IIB_T4_V6-IEC_160M/L42			
5000232101	13052 Motor aerorefrigreración J2	HPAE502J2	ABB MOTORS	M3_JP_160MLC_4_EEXD_IIB_T4_V6-IEC_160M/L42			
5000232104	09002 Aerorrefrigerante 2ª Etapa AE-502J	AE-502J	GEA IBÉRICA	9144/1835/6V-EEDP2-254R57Y32/66,67		261/507	245 KG/CM2
5000232201	26004 J2 - Cub 1 Alimentación 120 V CC/R		INABENSA	CCM			
5000232202	26004 J2 - Cub  2 bomba de respaldo		INABENSA	CCM			
5000232203	26004 J2 - Cub 3 tomas auxiliares		INABENSA	CCM			
5000232204	26004 J2 - Cub 4 Refrig. gas nº4 segunda		INABENSA	CCM			
5000232205	26004 J2 - Cub 5 Refrig. gas nº3 segunda		INABENSA	CCM			
5000232206	26004 J2 - Cub 6 Refrig. gas nº2 primera		INABENSA	CCM			
5000232207	26004 J2 - Cub 7 Refrig. gas nº1 primera		INABENSA	CCM			
5000232208	26004 J2 - Cub 10 compresor de aire		INABENSA	CCM			
5000232209	26004 J2 - Cub 11 motor filtro de aire		INABENSA	CCM			
5000232210	26004 J2 - Cub 12 bomba pre-post		INABENSA	CCM			
5000232211	26004 J2 - Cub 13 aerorefrig.de aceite 2		INABENSA	CCM			
5000232212	26004 J2 - Cub 14 aerorefrig.de aceite 1		INABENSA	CCM			
5000232213	26004 J2 - Cub 15 calentador de aceite		INABENSA	CCM			
5000232214	26004 J2 - Cub  16 ventilador cabina		INABENSA	CCM			
5000232215	26004 J2 - Cub C1 acometida (bornero)		CONSONNI	CCM			
5000232216	26004 J2 - Cub C2 acometida (Interrupt.)		CONSONNI	CCM			
5000232217	26004 J2 - Cub C3 acometida (contact)		CONSONNI	CCM			
5000232218	26004 J2 - Cub C4 cuadro 24V CC bomba		CONSONNI	CCM			
5000232219	26004 J2 - Cub C5 panel hidrául.Jaca 18		CONSONNI	CCM			
5000232220	26004 J2 - Cub C6, traceado (pulmón)		CONSONNI	CCM			
5000232221	26004 J2 - Cub C7, protecciónes sobret.		CONSONNI	CCM			
5000232222	26004 J2 - Cub C8, bomba carga metanol		CONSONNI	CCM			
5000232223	26004 J2 - Cub C9, reserva equipada		CONSONNI	CCM			
5000232224	26004 J2 - Cub C10 toma soldadur Jaca 18		CONSONNI	CCM			
5000232225	26004 J2 - Cub C11 panel mando b.metano		CONSONNI	CCM			
5000232226	26004 J2 - Cub C19, toma soladura		CONSONNI	CCM			
5000232227	26004 J2 - Cub C20 alimentación 220V ABB		CONSONNI	CCM			
5000232228	26004 J2 - Cub C21, alumb ext. (focos)		CONSONNI	CCM			
5000232229	26004 J2 - Cub  C22, MAT SOLAR		CONSONNI	CCM			
5000232230	26004 J2 - Cub 23, reserva no equipada		CONSONNI	CCM			
5000232234	36001 J2 - Alternador electrico 2GE1	2GE1	HIMOINSA	HFW-200_T5_STD_50HZ-400/230V_AS22			
5000232248	21001 Trampa de Rascadores D-1101	D-1101	TRAMPARASCADORES	6-8-10-16PULG			100 KG/CM2
5000232400	02010 Val. Gasoducto ESV-1722	ESV-1722	CAMERON	E92129-90-00-02		276666	6" 900# 61,5 CM
5000232421	11001 Bomba Descarga Metanol P-1403	P-1403	HIDROTECAR	CSO-50-160P-1103			30 M3/H
5000232429	01004 Contador Desc. Metanol FQI-1723	FQI-1723	FLUIDWELL	F110		29161	2" 150# 25 CM
5000232445	11003 Bomba Metanol A P-1402A	P-1402A	LEWA	LDE1-25-2010		529921-040.001	151,76 L/H 260 BAR
5000232456	11003 Bomba Metanol B P-1402B	P-1402B	LEWA	LDE2-30-2010		529921-040.001	402,76 L/H 250 BAR
5000232509	11001 Bomba carga slops P-1701	P-1701	KSB-ITUR	RW-50-200			
5000232571	44001 Intercambiador calor aciet/fuelgas	17C1701	BOREAL-VILA	ASME-VIII-LIV-1			
5000232584	13003 Turbina de gas TCJ17 T-1701	T-1701	SOLAR	TAURUS-60S-7302S			
5000232646	26011 Cuadro CC 110V TC-J17 CCC17-02	CCC17-02	AEG	TPR_125A._9_SP12-80-87-KPM81P	20090101	TPR-0657	400AC/110DC 125A
5000232758	13052 Motor aerorefrigreración TCP	B5981	CEMP	AB70_132SB_4_IBB_T3_IP56			
5000232761	13052 Motor aerorefrigreración  TCP	B5982	CEMP	AB70_132SB_4_IBB_T3_IP56			
5000232764	13052 Motor aerorefrigreración  TCP	B5983	CEMP	AB70_132SB_4_IBB_T3_IP56			
5000232806	13052 Motor aero J17 LP AE1071-1	17AE10701	ABB MOTORS	M3_JP_160MLC_4_V6			
5000232809	13052 Motor aero J17 LP AE1071-2	17AE10712	ABB MOTORS	M3_JP_160MLC_4_V6			
5000232819	09002 Aero. A 1ª Etapa AE-1701-A	AE-1701-A	GEA IBÉRICA	9144/1845/6V-EEDP2-254R57Y32/66.67		261/726	119 KG/CM2
5000232820	13052 Motor aero J17 HP AE1071-1	17AE10701	ABB MOTORS	M3_JP_100LB_4_B3			
5000232824	13052 Motor aero J17 HP AE502J-2	17AE502J2	ABB MOTORS	M3_JP_100LB_4_B3			
5000232827	13052 Motor aero J17 HP AE1071-3	17AE10713	ABB MOTORS	M3_JP_100LB_4_B3			
5000232830	13052 Motor aero J17 HP AE1071-4	17AE10714	ABB MOTORS	M3_JP_100LB_4_B3			
5000232841	09002 Aero. 2ª Etapa AE-1702	AE-1702	GEA IBÉRICA	9144/1845/6V-EEDP2-254R57Y32/66.67		261/726	244 KG/CM2
5000232886	12003 Compresor de tornillo TCJ17	11KW	ATLAS-COPCO	GA11P	20090101	API109616	11 KW
5000232944	26004 J17 - Cub 1A centralización señal		INABENSA	CCM			
5000232945	26004 J17 - Cub 1B Reserva no Equipada		INABENSA	CCM			
5000232946	26004 J17 - Cubículo 1C Medida C C		INABENSA	CCM			
5000232947	26004 J17 - Cubículo 1D Auxiliares		INABENSA	CCM			
5000232948	26004 J17 - Cub 1E Bomba Aceite Respaldo		INABENSA	CCM			
5000232949	26004 J17 - Cubículo 1F 110 VCC		INABENSA	CCM			
5000232950	26004 J17 - Cub 2A Aerorefrig. HP Vent 1		INABENSA	CCM			
5000232951	26004 J17 - Cub 2B Aerorefrig. HP Vent2		INABENSA	CCM			
5000232952	26004 J17 - Cub 2C Aerorefrig.HP Vent 3		INABENSA	CCM			
5000232953	26004 J17 - Cub 2D Aerorefrig. HP Vent 4		INABENSA	CCM			
5000232954	26004 J17 - Cub 2E Aerorefrig. LP Vent 1		INABENSA	CCM			
5000232955	26004 J17 - Cub 2F Aerorefrig. LP Vent 2		INABENSA	CCM			
5000232956	26004 J17 - Cub 2G Aerorefrig. Aceite V1		INABENSA	CCM			
5000232957	26004 J17 - Cub 2H Aerorefrig. Aceite V2		INABENSA	CCM			
5000232958	26004 J17 - Cub 2I Aerorefrig. Aceite V3		INABENSA	CCM			
5000232959	26004 J17 - Cub  2J Reserva no Equipada		INABENSA	CCM			
5000232960	26004 J17 - Cub 3A  Salidas Aux.s 220V		INABENSA	CCM			
5000232961	26004 J17 - Cub 3B Bomba Aceite		INABENSA	CCM			
5000232962	26004 J17 - Cub 3C Calent. tanque aceite		INABENSA	CCM			
5000232963	26004 J17 - Cub 3D Ventilador Cabina 1		INABENSA	CCM			
5000232964	26004 J17 - Cub 3E Ventilador Cabina 2		INABENSA	CCM			
5000232965	26004 J17 - Cub  3F Compresor de aire		INABENSA	CCM			
5000232966	26004 J17 - Cub  3G  Reserva no Equipada		INABENSA	CCM			
5000232967	26004 J17 - Cub 4A Salidas Aux. 220V		INABENSA	CCM			
5000232968	26004 J17 - Cub 4B Analizador de red		INABENSA	CCM			
5000232969	26004 J17 - Cub 4C/4D Aliment P380 mando		INABENSA	CCM			
5000232970	26004 J17 - pos.1 acometida (bornero)		CONSONNI	CCM			
5000232971	26004 J17 - pos. 2 acometida  (Interrup		CONSONNI	CCM			
5000232972	26004 J17 - pos. 3 acometida  (contacto		CONSONNI	CCM			
5000232973	26004 J17 - POSICIÓN 4, RESERVA EQUIPADA		CONSONNI	CCM			
